naama,jaati,ganavibhaaga,prastaara,yati
अपराजिता,शक्वरी,ननरसलग,।।।।।।ऽ।ऽ।।ऽ।ऽ,७
प्रहरणकलिता,शक्वरी,ननभनलग,।।।।।।ऽ।।।।।।ऽ,७
"वसन्ततिलका (सिंहोन्नता, उद्धर्षिणा)",शक्वरी,तभजजगग,ऽऽ।ऽ।।।ऽ।।ऽ।ऽऽ,८
इन्दुवदना,शक्वरी,भजसनगग,ऽ।।।ऽ।।।ऽ।।।ऽऽ,-
अलोला,शक्वरी,मसमभगग,ऽऽऽ।।ऽऽऽऽऽ।।ऽऽ,७
शशिकला,अतिशक्वरी,ननननस,।।।।।।।।।।।।।।ऽ,७
स्रग् (माला),अतिशक्वरी,ननननस,।।।।।।।।।।।।।।ऽ,६
मणिगुणनिकर,अतिशक्वरी,ननननस,।।।।।।।।।।।।।।ऽ,८
मालिनी,अतिशक्वरी,ननमयय,।।।।।।ऽऽऽ।ऽऽ।ऽऽ,८
प्रभद्रक,अतिशक्वरी,नजभजर,।।।।ऽ।ऽ।।।ऽ।ऽ।ऽ,८
एला,अतिशक्वरी,सजननय,।।ऽ।ऽ।।।।।।।।ऽऽ,५
चन्द्रलेखा,अतिशक्वरी,मरमयय,ऽऽऽऽ।ऽऽऽऽ।ऽऽ।ऽऽ,७
ऋषभगजविलासित,अष्टि,भरनननग,ऽ।।ऽ।ऽ।।।।।।।।।ऽ,-
वाणिनी,अष्टि,नजभजरग,।।।।ऽ।ऽ।।।ऽ।ऽ।ऽऽ,-
शिखरिणी,अत्यष्टि,यमनसभलग,।ऽऽऽऽऽ।।।।।ऽऽ।।।ऽ,६
पृथ्वी,अत्यष्टि,जसजसयलग,।ऽ।।।ऽ।ऽ।।।ऽ।ऽऽ।ऽ,८
वंशपत्रपतित,अत्यष्टि,भरनभनलग,ऽ।।ऽ।ऽ।।।ऽ।।।।।।ऽ,१०
हरिणी,अत्यष्टि,नसमरसलग,।।।।।ऽऽऽऽऽ।ऽ।।ऽ।ऽ,"६,४"
मन्दाक्रान्ता,अत्यष्टि,मभनततगग,ऽऽऽऽ।।।।।ऽऽ।ऽऽ।ऽऽ,"४,६"
नकुर्टक,अत्यष्टि,नजभजजलग,।।।।ऽ।ऽ।।।ऽ।।ऽ।।ऽ,७
कोकिलक,अत्यष्टि,नजभजजलग,।।।।ऽ।ऽ।।।ऽ।।ऽ।।ऽ,"७,६"
कुसुमलतावेल्लिता,धृति,मतनययय,ऽऽऽऽऽ।।।।।ऽऽ।ऽऽ।ऽऽ,"५,६"
शार्दूलविक्रेडित,अतिधृति,मसजसततग,ऽऽऽ।।ऽ।ऽ।।।ऽऽऽ।ऽऽ।ऽ,१२
सुवदना,कृति,मरभनयभलग,ऽऽऽऽ।ऽऽ।।।।।।ऽऽऽ।।।ऽ,"७,७"
वृत्त,कृति,रजरजरजगल,ऽ।ऽ।ऽ।ऽ।ऽ।ऽ।ऽ।ऽ।ऽ।ऽ।,-
स्रग्धरा,प्रकृति,मरभनययय,ऽऽऽऽ।ऽऽ।।।।।।ऽऽ।ऽऽ।ऽऽ,"७,७"
भद्रक,आकृति,भरनरनरनग,ऽ।।ऽ।ऽ।।।ऽ।ऽ।।।ऽ।ऽ।।।ऽ,१०
अश्वललित,विकृति,नजभजभजभलग,।।।।ऽ।ऽ।।।ऽ।ऽ।।।ऽ।ऽ।।।ऽ,११
मत्ताक्रीडा,विकृति,ममतननननलग,ऽऽऽऽऽऽऽऽ।।।।।।।।।।।।।।ऽ,"८,५"
तन्वी,सङ्कृति,भतनसभभनय,ऽ।।ऽऽ।।।।।।ऽऽ।।ऽ।।।।।।ऽऽ,"५,७"
क्रौञ्चपदा,अतिकृति,भमसभननननग,ऽ।।ऽऽऽ।।ऽऽ।।।।।।।।।।।।।।ऽ,"५,५,८"
भुजङ्गविजृम्भित,उत्कृति,ममतनननरसलग,ऽऽऽऽऽऽऽऽ।।।।।।।।।।ऽ।ऽ।।ऽ।ऽ,"८,११"
अपवाहक,उत्कृति,मननननननसगग,ऽऽऽ।।।।।।।।।।।।।।।।।।।।ऽऽऽ,"९,६,६"
चण्डवृष्तिप्रपात,दण्डक,ननररररररर,।।।।।।ऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽ,-
अर्णाख्य,दण्डक,ननरररररररर,।।।।।।ऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽ,-
अर्णव,दण्डक,ननररररररररर,।।।।।।ऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽ,-
व्याल,दण्डक,ननरररररररररर,।।।।।।ऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽ,-
जीमूत,दण्डक,ननररररररररररर,।।।।।।ऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽ,-
लीलाकर,दण्डक,ननरररररररररररर,।।।।।।ऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽ,-
उद्दाम,दण्डक,ननररररररररररररर,।।।।।।ऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽ,-
शङ्ख,दण्डक,ननरररररररररररररर,।।।।।।ऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽऽ।ऽ,-
